english,x,y
Time,temps,0
Man,home,0
Hand,mà,1
Day,dia,0
Way,camí,0
Eye,ull,0
Thing,cosa,1
Head,cap,0
Year,any,0
Room,habitació,1
Door,porta,1
Woman,dona,1
Face,cara,1
Mother,mare,1
People,gent,1
Night,nit,1
House,casa,1
Father,pare,0
Life,vida,1
Back,esquena,1
Voice,veu,1
Girl,noia,1
Place,lloc,0
Boy,noi,0
Car,cotxe,0
Side,pàgina,1
Arm,braç,0
Child,nen,0
Word,paraula,1
Moment,moment,0
Hair,cabell,0
Foot,peu,0
Water,aigua,1
Light,llum,1
World,món,0
Name,nom,0
Friend,amic,0
Window,finestra,1
Body,cos,0
Table,taula,1
Morning,matí,0
Bed,llit,0
Wall,paret,1
Street,carrer,0
School,escola,1
Air,aire,0
Floor,sòl,0
Hour,hora,1
End,final,0
Family,família,1
Minute,minut,0
Story,història,1
God,déu,0
Week,setmana,1
Work,obra,1
Shoulder,espatlla,1
Part,part,1
Mind,ment,1
Book,llibre,0
Finger,dit,0
Mouth,boca,1
Glass,vidre,0
Tree,arbre,0
Sound,so,0
Line,línia,1
Heart,cor,0
Money,diner,0
Phone,telèfon,0
Look,mirada,1
Leg,cama,1
Chair,cadira,1
Office,oficina,1
Brother,germà,0
Question,pregunta,1
City,ciutat,1
Month,mes,0
Baby,nadó,0
Home,llar,1
Dog,gos,0
Idea,idea,1
Kitchen,cuina,1
Lot,terra,1
Son,fill,0
Job,feina,1
Paper,paper,0
Sister,germana,1
Smile,somriure,0
Point,punt,0
Thought,pensament,0
Love,amor,0
Death,mort,1
Others,altre,0
Fire,foc,0
Step,pas,0
Blood,sang,1
Fact,fet,0
Breath,respiració,1
Lip,llavi,0
Sun,sol,0
Building,edifici,0
Number,número,0
Husband,marit,0
Parent,pares,0
Corner,cantonada,1
Problem,problema,0
Couple,parella,1
Daughter,filla,1
Bag,bossa,1
Hell,infern,0
Rest,tranquil·litat,1
Business,negoci,0
Sky,cel,0
Box,caixa,1
Person,persona,1
Reason,raó,1
Right,dreta,1
Skin,pell,1
Case,cas,0
Piece,joc,0
Doctor,metge,0
Edge,vora,1
Picture,imatge,1
Sense,sentits,0
Ear,orella,1
Second,segon,0
Lady,dama,1
Neck,coll,0
Wind,vent,0
Desk,escriptori,0
Gun,arma,1
Stone,pedra,1
Coffee,cafè,0
Ship,vaixell,0
Food,menjar,0
Horse,cavall,0
Field,camp,0
War,guerra,1
Afternoon,tarda,1
Sir,senyor,0
Space,espai,1
Letter,carta,1
Bar,bar,0
Dream,somni,0
Apartment,apartament,0
Chest,pit,0
Summer,estiu,0
Matter,assumpte,0
Silence,silenci,0
Rock,roca,1
Power,poder,0
Clothes,roba,1
Sign,signe,0
Attention,atenció,1
Music,música,1
State,estat,1
Dinner,sopar,0
Hall,vestíbul,0
Pain,dolor,0
Age,edat,1
River,riu,0
Chance,oportunitat,1
Nose,nas,0
Shadow,ombra,1
Police,policia,1
Memory,memòria,1
Color,color,0
Knee,genoll,0
Wood,fusta,1
Shirt,camisa,1
Party,festa,1
Country,país,0
Truck,camions,0
Tooth,dent,1
Bill,projecte,0
Scene,escena,1
Star,estrella,1
Bird,ocell,0
Bedroom,dormitori,0
Uncle,oncle,0
Group,grup,0
Truth,veritat,1
Trouble,dificultat,1
Crowd,multitud,1
Station,estació,1
Tear,llàgrima,1
Class,classe,1
Sea,mar,0
Animal,animal,0
Center,centre,0
Feeling,sentiment,0
Mountain,muntanya,1
Shoe,sabata,1
Cat,gat,0
Screen,pantalla,1
Bottle,ampolla,1
Call,trucada,1
Living,sala,1
Cheek,galta,1
Student,alumne,0
Ball,pilota,1
Sight,vista,1
Hill,turó,0
Company,empresa,1
Church,església,1
Rain,pluja,1
Suit,vestit,0
One,únic,0
Direction,direcció,1
Will,voluntat,1
Middle,mig,0
Answer,resposta,1
Stuff,eina,1
Hospital,hospital,0
Camera,càmera,1
Card,mapa,0
Yard,granja,1
Dark,foscor,1
Shit,merda,1
Machine,màquina,1
Distance,distància,1
Area,zona,1
Narrator,narrador,0
Ice,gel,0
Snow,neu,1
Note,nota,1
Mirror,mirall,0
King,rei,0
Fear,por,1
Officer,funcionari,0
Hole,forat,0
Shot,tret,0
Guard,guardià,0
Conversation,conversa,1
System,sistema,0
Care,preocupació,1
Bit,bit,0
Movie,pel·lícula,1
Bone,os,0
Captain,capità,0
Aunt,tia,1
Control,control,0
Drink,beguda,1
Hotel,hotel,0
Coat,abric,0
Stair,escales,1
Order,ordre,1
Rose,rosa,1
Miss,senyoreta,1
Hat,barret,0
Gold,or,0
Cigarette,cigarreta,1
Cloud,núvol,0
Driver,conductor,0
Cup,copa,1
Figure,figura,1
Expression,expressió,1
Key,clau,1
Computer,ordinador,0
Flower,flor,1
Ring,anell,0
Bathroom,bany,0
Metal,metall,0
Moon,lluna,1
Song,cançó,1
Soldier,soldat,0
Radio,ràdio,1
Wave,onada,1
Plan,pla,0
College,col·legi,0
Fish,peix,0
Garden,jardí,0
Train,tren,0
Art,art,0
Beer,cervesa,1
North,nord,0
Island,illa,1
Bus,autobús,0
Smell,olor,1
Noise,soroll,0
Park,parc,0
South,sud,0
Plate,plat,0
Jacket,jaqueta,1
Help,ajuda,1
Grass,herba,1
Thanks,gràcia,1
Heat,calor,1
Sleep,son,0
Brain,cervell,0
Service,servei,0
Trip,viatge,0
Beat,cop,0
Knife,ganivet,0
Spot,taca,1
Message,missatge,0
Teacher,professor,0
Village,poble,0
Winter,hivern,0
Law,llei,1
Surface,superfície,1
Bank,banc,0
Team,equip,0
Maximum,màxim,0
Position,posició,1
Stomach,estómac,0
Turn,canvi,0
West,oest,0
Lunch,dinar,0
Creature,ésser,0
Soul,ànima,1
Leaf,fulla,1
Show,espectacle,0
Palm,palmera,1
Plastic,plàstic,0
Beach,platja,1
President,president,0
Shape,forma,1
Smoke,fum,0
Wheel,roda,1
Silver,plata,1
Roof,sostre,0
Weight,pes,0
Tongue,llengua,1
Tea,te,0
Track,ruta,1
Angle,angle,0
Tone,to,0
Circle,cercle,0
Spring,primavera,1
Porch,porxo,0
Member,membre,0
Pool,piscina,1
Need,necessitat,1
Hope,esperança,1
Lake,llac,0
Surprise,sorpresa,1
Interest,interfície,1
Spirit,esperit,0
Block,bloc,0
Bridge,pont,0
Dust,pols,1
Cell,cèl·lula,1
Wine,vi,0
Boot,bota,1
Choice,eleccions,1
Row,sèrie,1
Plane,avió,0
Watch,rellotge,0
Information,informació,1
Grandmother,àvia,1
Wing,ala,1
Bob,bob,0
Club,club,0
Master,mestre,0
Forest,bosc,0
Size,mida,1
Set,frase,1
Marriage,matrimoni,0
Forehead,front,0
Storm,tempesta,1
Doorway,passatge,0
Situation,situació,1
Counter,taulell,0
Neighbor,veí,0
Photo,foto,1
Stage,escenari,0
Meeting,trobada,1
Nurse,infermera,1
Security,seguretat,1
Event,esdeveniment,0
Engine,motor,0
Gift,regal,0
Restaurant,restaurant,0
Board,tauler,0
Hallway,passadís,0
Army,exèrcit,0
Effort,esforç,0
East,orient,0
Agent,agent,0
Future,futur,0
Pant,pantalons,0
Leather,cuir,0
Flight,vol,0
Sex,sexe,0
Court,tribunal,0
Course,curs,0
Dirt,brutícia,1
Egg,ou,0
Chin,barbeta,1
Stranger,estrany,0
Pleasure,plaer,0
Detail,detall,0
Crew,tripulació,1
Fall,tardor,1
Guest,convidat,0
Experience,experiència,1
Joke,broma,1
Sand,sorra,1
Fist,puny,0
Action,acció,1
Walk,passeig,0
Wedding,casament,0
Nature,natura,1
Planet,planeta,0
Cousin,cosins,0
Movement,moviment,0
Flesh,carn,1
Record,registre,0
Camp,campament,0
Newspaper,diari,0
Ray,raig,0
Couch,sofà,0
Grandfather,avi,0
Secret,secret,0
Beauty,bellesa,1
Presence,presència,1
Bell,campana,1
Button,botó,0
List,llista,1
Level,nivell,0
Date,data,1
Subject,tema,0
Difference,diferència,1
Pause,ruptura,1
Van,furgoneta,1
Television,televisió,1
Cover,portada,1
Past,passat,0
Lap,úter,0
Band,banda,1
Lawyer,advocat,0
Magazine,revista,1
Branch,branca,1
Frame,marc,0
Deck,coberta,1
Effect,efecte,0
Dance,dansa,1
Vision,visió,1
Ass,cul,0
Character,personatge,0
Goodbye,comiat,0
Parking,aparcament,0
Breakfast,esmorzar,0
Gesture,gest,0
Luck,felicitat,1
Gas,gas,0
Mistake,error,0
University,universitat,1
Ocean,oceà,0
Century,segle,0
Honey,mel,1
Pile,pila,1
Bowl,bol,0
Base,base,1
Fence,tanca,1
Rule,regla,1
Laughter,riure,0
Anger,ràbia,1
Sweat,suor,1
Accident,accident,0
Decision,decisió,1
Angel,àngel,0
Strength,punts,0
Chicken,pollastre,0
Study,estudis,0
Tape,cinta,1
Wrist,canell,0
Stop,presa,1
Hip,malucs,0
Government,govern,0
Belly,ventre,0
Queen,reina,1
Report,informe,0
Tail,cua,1
Plant,planta,1
Flame,flama,1
Belt,cinturó,0
Neighborhood,barri,0
Energy,energia,1
Green,verd,0
Enemy,enemic,0
Entrance,entrada,1
Library,biblioteca,1
Writer,escriptor,0
Peace,pau,1
Touch,tacte,0
Pot,olla,1
Cause,causa,1
Rope,corda,1
Muscle,múscul,0
Painting,pintura,1
Curtain,teló,0
Act,nu,0
Wolf,llop,0
Cabin,cabana,1
Charge,tarifa,1
Passenger,passatger,0
Drug,droga,1
Use,usos,0
Traffic,trànsit,0
Relief,alleujament,0
Cap,tapa,1
Pack,manada,1
Stand,estand,0
Elevator,ascensor,0
Birthday,aniversari,0
Lily,lliri,0
Iron,ferro,0
Eyebrow,cella,1
Speed,velocitat,1
Purpose,propòsit,0
Skirt,faldilla,1
Square,plaça,1
Article,article,0
English,anglès,0
Tower,torre,1
Battle,batalla,1
Race,cursa,1
Shock,xoc,0
Section,secció,1
Sword,espasa,1
Stick,pal,0
File,arxiu,0
Bread,pa,0
Oil,oli,0
Chain,cadena,1
Department,departament,0
Murder,assassinat,0
Bear,ós,0
Test,prova,1
Visit,visita,1
Milk,llet,1
Elbow,colze,0
Desire,desig,0
Patient,pacient,0
Lover,amant,0
Price,preu,0
Knowledge,coneixement,0
Beginning,principi,0
Cold,fred,0
Closet,gabinet,0
Dawn,alba,1
Temple,temple,0
Joy,alegria,1
Duty,deure,0
Practice,exercici,0
Heel,paràgraf,0
Valley,vall,1
Fight,lluita,1
Wire,cable,0
Jeans,texà,0
Kiss,petó,0
Jaw,mandíbula,1
Run,carrera,1
Hold,explotació,1
Relationship,relació,1
Object,objecte,0
Attack,atac,0
Highway,autopista,1
Crime,crim,0
White,blanc,0
Partner,soci,0
Priest,sacerdot,0
Lawn,gespa,1
Trunk,tribu,1
Cry,plor,0
Program,programa,0
Shelf,prestatgeria,1
Being,essència,0
Steel,acer,0
Sidewalk,vorera,1
Uniform,uniforme,0
Pattern,patró,0
Player,jugador,0
Novel,novel·la,1
Pillow,coixí,0
Lamp,làmpada,1
Drawer,calaix,0
Danger,perill,0
Detective,detectiu,0
Thinking,pensar,0
Crack,esquerda,1
Prayer,oració,1
Towel,tovallola,1
Glove,guant,0
Bay,badia,1
Audience,públic,0
Can,llauna,1
Waist,cintura,1
Pressure,pressió,1
Sink,aigüera,0
Return,retorn,0
Breeze,brisa,1
Taste,gustos,0
Stream,rierol,0
Result,resultat,0
Author,autor,0
Tip,consell,0
Shower,dutxa,1
Half,meitat,1
Fool,ximple,0
Tunnel,túnel,0
Client,client,0
Garage,garatge,0
Mission,missió,1
Market,mercat,0
Loss,pèrdua,1
Pen,ploma,1
Term,terme,0
Poem,poema,0
Prince,príncep,0
Lock,castell,0
Reality,realitat,1
Snake,serp,1
Apple,poma,1
Mask,màscara,1
Birth,naixement,0
Wonder,miracle,0
Tank,tanc,0
Staff,personal,0
Lie,mentida,1
Faith,fe,1
Honor,honor,0
Cream,crema,1
Victim,víctima,1
Contact,contacte,0
Thumb,polze,0
Reading,lectura,1
Fun,diversió,1
Candle,espelma,1
Cave,cova,1
Prison,presó,1
Emotion,emoció,1
Leader,líder,0
Degree,grau,0
Feature,característica,1
Ticket,bitllet,0
Alien,alienígena,0
Lesson,lliçó,1
Desert,desert,0
Cut,tall,0
Mess,confusió,1
Warning,avís,1
Tale,conte,0
Funeral,funeral,0
Cab,taxi,0
Reporter,reporter,0
Theater,teatre,0
Length,longitud,1
Mud,fang,0
Science,ciència,1
Drop,gota,1
String,cordó,0
Speech,discurs,0
Copy,espècimen,0
Cow,vaca,1
Worker,treballador,0
Thigh,cuixes,1
Lab,laboratori,0
Fruit,fruita,1
Patch,pegat,0
Silk,seda,1
Buck,dòlar,0
Brick,maó,0
Rifle,rifle,0
Issue,sortida,1
Director,director,0
Monster,monstre,0
Vehicle,vehicle,0
Alley,carreró,0
Sleeve,màniga,1
Grave,tomba,1
Bush,arbust,0
Dining,menjador,0
Opening,obertura,1
Twin,bessons,0
Barn,graner,0
Pound,lliura,1
Flash,llamp,0
Judge,jutge,0
Mass,masses,1
Process,procés,0
Tie,corbata,1
Purse,cartera,1
Pipe,canonada,1
Dragon,drac,0
Horizon,horitzó,0
Tray,safata,1
Envelope,sobre,0
Check,xec,0
Adult,adult,0
Emergency,emergència,1
Material,material,0
Childhood,infantesa,1
Habit,hàbit,0
Artist,artista,0
Address,adreça,1
Universe,univers,0
Shell,closca,1
Community,comunitat,1
Start,inici,0
Wound,ferida,1
Mouse,ratolí,0
Pilot,pilot,0
Video,vídeo,0
Basket,cistella,1
Wagon,vagó,0
Attempt,intent,1
Cake,pastís,0
Shore,costa,1
General,general,0
Root,arrel,1
Robe,capa,1
Press,premsa,1
Rat,rata,1
Society,societat,1
Style,estil,0
County,districte,0
Visitor,visitant,0
Model,model,0
Chamber,cambra,1
Bunch,ram,0
Background,fons,0
Unit,unitat,1
Furniture,mobles,0
Nail,ungla,1
Scream,crit,0
Property,propietat,1
Driveway,ascensió,1
Grip,mànec,0
Tube,tub,0
Ash,cendres,1
Fan,ventilador,0
Opinion,opinió,1
Data,dada,1
Connection,connexió,1
Trick,truc,0
Period,període,0
Writing,escriptures,1
Horror,horror,0
Candy,dolç,0
Bitch,puta,1
Health,salut,1
Manager,gerent,0
Height,alçada,1
Appearance,aparença,1
Sigh,sospir,0
Mine,mina,1
Cloth,teixit,0
Reaction,reacció,1
Source,font,1
Self,jo,0
Pistol,pistola,1
Airport,aeroport,0
Hero,heroi,0
Promise,promesa,1
Bow,arc,0
Tent,tenda,1
Cash,efectiu,0
Avenue,avinguda,1
TShirt,samarreta,1
Carpet,catifa,1
Basement,celler,0
Girlfriend,núvia,1
Beard,barba,1
Signal,senyal,0
Servant,servent,0
Whisper,xiuxiueigs,0
Doubt,dubte,0
Account,compte,0
Magic,màgia,1
Hank,bony,0
Limb,penis,0
Bastard,bastard,0
Skull,calavera,1
Horn,banya,1
Oak,roure,0
Ankle,turmell,0
Doll,nina,1
Sandwich,entrepà,0
Robin,pitroig,0
Justice,justícia,1
Pride,orgull,0
Youth,joventut,1
Secretary,secretari,0
Research,recerca,1
Sport,esport,0
Task,tasca,1
Grant,beca,1
Sheriff,xèrif,0
Midnight,mitjanit,1
Chip,xip,0
Theory,teoria,1
Alarm,alarma,1
Collection,col·lecció,1
Cross,creu,1
Pine,pins,0
Generation,generació,1
Authority,autoritat,1
Pearl,perla,1
Toilet,vàter,0
Killer,assassí,0
Medicine,medicina,1
Sugar,sucre,0
Princess,princesa,1
Argument,argument,0
Cliff,penyasegat,0
Cart,vagons,0
Crystal,cristall,0
Bean,mongeta,1
Cage,gàbia,1
Chocolate,xocolata,1
Decade,dècada,1
Meaning,significat,0
Suitcase,maleta,1
Operation,operació,1
Breathing,respirar,0
Version,versió,1
Prisoner,presoner,0
Rush,intoxicació,1
Lane,carril,0
Pole,aposta,1
Freedom,llibertat,1
Skill,habilitat,1
Passion,passió,1
Activity,activitat,1
Platform,plataforma,1
Salt,sal,1
Bike,bicicleta,1
Companion,company,0
Fate,destí,0
Supply,subministrament,0
Whale,balena,1
Pig,porc,0
Rabbit,conill,0
Monitor,monitor,0
Helmet,casc,0
Respect,respecte,0
Fur,pelatge,0
Range,amplada,1
Code,codi,0
Chapter,capítol,0
Reflection,reflex,0
Mail,correu,0
Fly,mosca,1
Toy,joguines,1
Baseball,beisbol,0
Inside,interior,0
Pace,tempo,0
Lead,lideratge,0
Amount,quantitat,1
Nerve,nervi,0
Terror,terror,0
Sweater,jersei,0
Quality,qualitat,1
Hunter,caçador,0
Buster,destructor,0
Cotton,cotó,0
Sergeant,sergent,0
Credit,crèdit,0
Devil,diable,0
Threat,amenaça,1
Success,èxit,0
Pan,paella,1
Clerk,empleat,0
Title,títol,0
Meter,comptador,0
Shame,vergonya,1
Needle,agulla,1
Lung,pulmons,0
Warrior,guerrer,0
Circumstance,circumstàcia,1
Studio,estudi,0
Panic,pànic,0
Lack,manca,1
Farmer,pagès,0
Accent,accent,0
Bomb,bomba,1
Panel,panell,0
Victor,guanyador,0
Glow,resplendor,1
Behavior,comportament,0
Slave,esclau,0
Lieutenant,tinent,0
Barrel,barril,0
Impression,impressió,1
Mason,maçó,0
Package,paquet,0
Fog,boira,1
Walking,caminar,0
Balance,equilibri,0
Sock,mitjó,0
Robot,robot,0
Potato,patata,1
Diamond,diamant,0
Corpse,cadàver,0
Explanation,declaració,1
Structure,estructura,1
Blue,blau,0
American,nordamericà,0
Ruby,robí,0
Pit,fossa,1
Colonel,coronel,0
Dock,port,0
Tourist,turista,0
Defense,defensa,1
Bite,mossegada,1
Museum,museu,0
Favor,favor,0
Comfort,comoditat,1
Dean,degà,0
Value,valor,0
March,marxa,1
Estate,finca,1
Poet,poeta,0
Palace,palau,0
Soup,sopa,1
Nation,nació,1
Standing,parada,1
Sack,sac,0
Demon,dimoni,0
Conference,conferència,1
Juice,suc,0
Responsibility,responsabilitat,1
Brush,pinzell,0
Cheese,formatge,0
Hood,capó,0
Duck,ànec,0
Saint,sant,0
Pass,pass,0
Target,objectiu,0
Orange,taronja,1
Culture,cultura,1
Tour,tour,0
Commander,comandant,0
Hook,ganxo,0
Training,formació,1
Coin,moneda,1
Advantage,avantatge,0
Exchange,intercanvi,0
Fiction,ficció,1
Pond,estany,0
Assistant,assistent,0
Design,disseny,0
Fishing,pesca,1
Slope,pendent,0
Earl,comte,0
Comment,comentari,0
Waiter,cambrer,0
Curve,corba,1
Volume,volum,0
Risk,risc,0
Nightmare,malson,0
Existence,existència,1
Trace,rastre,0
Disease,malaltia,1
Support,suport,0
Witness,testimoni,0
Stock,estoc,0
Device,dispositiu,0
Landscape,paisatge,0
Holiday,vacances,1
Ace,as,0
Piano,piano,0
Gut,intestí,0
Talent,talent,0
Imagination,imaginació,1
Black,negre,0
Reed,espadanya,1
Hint,pista,1
Walker,caminant,0
Chill,estremiment,0
Interview,entrevista,1
Approach,enfocament,0
Scar,cicatriu,1
Fashion,moda,1
Channel,canal,0
Footstep,petjada,1
Pickup,recollida,1
Hawk,falcó,0
Trailer,tràiler,0
Statue,estàtua,1
Pill,píndola,1
Bug,escarabat,0
Bucket,galleda,1
Vacation,vacança,1
Species,espècie,1
Column,columna,1
Damage,dany,0
Instrument,instrument,0
Strip,ratlla,1
Garbage,escombaria,1
Rib,costella,1
Notebook,quadern,0
Corn,blat,0
Offer,oferta,1
Drawing,dibuix,0
Intelligence,intel·ligència,1
Excuse,disculpa,1
Landing,desembarcament,0
Copyright,dret,0
Rod,vareta,1
Fantasy,fantasia,1
Curiosity,curiositat,1
Gown,túnica,1
Border,frontera,1
Poetry,poesia,1
Rise,pujada,1
Handful,grapat,0
China,porcellana,1
French,francès,0
Mean,mitjana,1
Deer,cérvol,0
Print,gravat,0
Rail,rails,0
Courage,coratge,0
Arrival,arribades,1
Ridge,carena,1
Idiot,idiota,0
Bull,toro,0
Seed,llavors,1
Progress,progrés,0
Shorts,pantaló,0
Citizen,ciutadà,0
Log,tronc,0
Patience,paciència,1
Bat,ratpenat,0
Football,futbol,0
Routine,rutina,1
Explosion,explosió,1
Content,contingut,0
Scientist,científic,0
Failure,fracàs,0
Sin,pecat,0
Understanding,enteniment,0
Trade,comerç,0
Refrigerator,nevera,1
Flashlight,llanterna,1
Net,xarxa,1
Sailor,mariner,0
Attitude,configuració,1
Guilt,culpa,1
Sip,glop,0
Travel,viatjar,0
Cookie,galeta,1
Escape,fugida,1
Instruction,instrucció,1
Marble,marbre,0
Dusk,crepuscle,0
Monkey,mico,0
Makeup,maquillatge,0
Blouse,brusa,1
Rhythm,ritme,0
Steam,vapor,0
Pencil,llapis,0
Cook,xef,0
Flag,bandera,1
Coach,entrenador,0
Swing,gronxador,0
Speaker,orador,0
Bolt,forrellat,0
Fat,greix,0
Round,ronda,1
Straw,palla,1
Hatch,escotilla,1
Fork,forquilla,1
Evil,mal,0
Maid,criada,1
Relative,familiars,0
Witch,bruixa,1
Courtyard,pati,0
Sensation,sensació,1
Bubble,bombolla,1
Reader,lector,0
Curl,rínxol,0
Union,sindicat,0
Teenager,adolescent,0
Waitress,cambrera,1
Rumor,rumor,0
Gravity,gravetat,1
Shelter,protecció,1
Adventure,aventura,1
Lion,lleó,0
Confidence,confiança,1
Depth,profunditats,1
Reach,gamma,1
Hammer,martell,0
Bible,bíblia,1
Contract,tractat,0
Jungle,selva,1
Factory,fàbrica,1
Indian,indi,0
Balcony,balcó,0
Rice,arròs,0
Knot,nus,0
Colleague,col·lega,0
Intention,intenció,1
Stare,rígid,0
Motel,motel,0
Darling,estimada,0
Discussion,discussió,1
Atmosphere,atmosfera,1
Performance,actuació,1
Tension,tensió,1
Text,text,0
Noon,migdia,0
Vein,vena,1
Expert,expert,0
Gang,colla,1
Cancer,càncer,0
Fox,guineu,1
Divorce,divorci,0
Absence,absència,1
Violence,violència,1
Humor,humor,0
Stool,tamboret,0
Gravel,grava,1
Treasure,tresor,0
Butter,mantega,1
Switch,interruptor,0
Cigar,cigar,0
Canvas,llenç,0
Pin,passador,0
Actor,actor,0
Whole,tot,0
Brown,marró,0
Host,amfitrió,0
Scarf,mocador,0
Scale,escala,1
Arrow,fletxa,1
Temperature,temperatura,1
Technology,tecnologia,1
Permission,permís,0
Location,ubicació,1
Claw,urpa,1
Cowboy,vaquer,0
Agency,agència,1
Construction,construcció,1
Hunting,caça,1
Vegetable,verdura,1
Helicopter,helicòpter,0
Trap,trampa,1
Gap,bretxa,1
Pet,mascota,1
Education,educació,1
Shopping,compra,1
Shed,cobert,0
Agreement,acord,0
Duke,duc,0
Shotgun,escopeta,1
Rear,popa,1
Ceremony,cerimònia,1
Spoon,cullera,1
Tub,banyera,1
Iris,iris,0
Incident,incident,0
Access,accés,0
Brass,llautó,0
Sidebar,barra,1
Sheep,ovella,1
Engineer,enginyer,0
Invitation,invitació,1
Rag,draps,0
Good,bo,0
Dude,tipus,0
Treatment,tractament,0
Wisdom,saviesa,1
Element,element,0
Giant,gegant,0
Napkin,tovalló,0
Laundry,bugaderia,1
Option,opció,1
Request,investigació,1
Ranch,ranxo,0
Script,guió,0
Ford,ford,0
Widow,vídua,1
Crow,corb,0
Thread,fil,0
Suicide,suïcidi,0
Sunset,posta,1
Gallery,galeria,1
Thunder,tro,0
Soap,sabó,0
Whiskey,whisky,0
Mayor,alcalde,0
Stroke,ictus,0
Click,clic,0
